G6PD Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
Mexico City/Olomouc,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Omiya,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Mexico City/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Pedoplis-Ckaro,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Piotrkow,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Plymouth,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Praha,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Puerto Limon,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Rehevot,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Riley,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Riverside,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Santiago,,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Santiago de Cuba, Morioka",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Mexico City/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Serres,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Shinshu,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Stonybrook,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sugao,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sumare,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Sunderland,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Suwalki,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Swansea,,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Telti, Kobe",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Tenri,,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Tokyo, Fukushima",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Tomah,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Tondela,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Torun,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Tsukui,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Urayasu,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Utrecht,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Vancouver,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Mexico City/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Villeurbanne,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Volendam,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Wayne,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/West Virginia,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Wexham,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Wisconsin,,G6PD Deficient,Abnormal/Priority/High Risk
Mexico City/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
Miaoli/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Montpellier,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Mt Sinai,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Munich,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Nara,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Nashville, Anaheim, Portici",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/No name,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/North Dallas,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Olomouc,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Omiya,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Miaoli/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Pedoplis-Ckaro,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Piotrkow,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Plymouth,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Praha,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Puerto Limon,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Rehevot,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Riley,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Riverside,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Santiago,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Santiago de Cuba, Morioka",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Miaoli/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Serres,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Shinshu,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Stonybrook,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sugao,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sumare,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Sunderland,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Suwalki,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Swansea,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Telti, Kobe",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Tenri,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Tokyo, Fukushima",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Tomah,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Tondela,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Torun,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Tsukui,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Urayasu,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Utrecht,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Vancouver,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Miaoli/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Villeurbanne,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Volendam,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Wayne,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/West Virginia,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Wexham,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Wisconsin,,G6PD Deficient,Abnormal/Priority/High Risk
Miaoli/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Mira d'Aire",,G6PD Variable,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Mizushima",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Montalbano",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Montpellier",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Mt Sinai",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Munich",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Murcia Oristano",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Musashino",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Namouru",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nankang",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nanning",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Naone",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nara",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nashville, Anaheim, Portici",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Neapolis",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nice",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Nilgiri",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/No name",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/North Dallas",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Olomouc",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Omiya",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Orissa",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Osaka",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Palestrina",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Papua",,G6PD Indeterminate,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Partenope",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Pawnee",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Pedoplis-Ckaro",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Piotrkow",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Plymouth",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Praha",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Puerto Limon",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Quing Yan",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Radlowo",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Rehevot",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Rignano",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Riley",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Riverside",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Roubaix",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/S. Antioco",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Salerno Pyrgos",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Santa Maria",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Santiago",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Santiago de Cuba, Morioka",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sao Borja",,G6PD Variable,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Seoul",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Serres",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Shenzen",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Shinshu",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sibari",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sierra Leone",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sinnai",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Songklanagarind",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Split",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Stonybrook",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sugao",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sumare",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Sunderland",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Surabaya",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Suwalki",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Swansea",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Tenri",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Toledo",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Tomah",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Tondela",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Torun",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Tsukui",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Ube Konan",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Urayasu",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Utrecht",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Valladolid",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Vancouver",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Vanua Lava",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Villeurbanne",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Volendam",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Wayne",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/West Virginia",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Wexham",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Wisconsin",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Minnesota, Marion, Gastonia, LeJeune/Yunan",,G6PD Indeterminate,Abnormal/Priority/High Risk
Mira d'Aire,,G6PD Normal,Normal Risk
Mira d'Aire/Mira d'Aire,,G6PD Normal,Normal Risk
Mira d'Aire/Mizushima,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Montalbano,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Montpellier,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Mt Sinai,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Munich,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Murcia Oristano,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Musashino,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Namouru,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Nankang,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Nanning,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Naone,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Nara,,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Nashville, Anaheim, Portici",,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Neapolis,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Nice,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Nilgiri,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/No name,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/North Dallas,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Olomouc,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Omiya,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Orissa,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Osaka,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Palestrina,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Mira d'Aire/Partenope,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Pawnee,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Pedoplis-Ckaro,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Piotrkow,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Plymouth,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Praha,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Puerto Limon,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Quing Yan,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Radlowo,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Rehevot,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Rignano,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Riley,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Riverside,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Roubaix,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/S. Antioco,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Salerno Pyrgos,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Santa Maria,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Santiago,,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Santiago de Cuba, Morioka",,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sao Borja,,G6PD Normal,Normal Risk
"Mira d'Aire/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Seoul,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Serres,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Shenzen,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Shinshu,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sibari,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sierra Leone,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sinnai,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Songklanagarind,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Split,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Stonybrook,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sugao,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sumare,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Sunderland,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Surabaya,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Suwalki,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Swansea,,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Taipei, Chinese-3",,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Telti, Kobe",,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Tenri,,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Tokyo, Fukushima",,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Toledo,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Tomah,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Tondela,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Torun,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Tsukui,,G6PD Variable,Abnormal/Priority/High Risk
Mira d'Aire/Ube Konan,,G6PD Variable,Abnormal/Priority/High Risk
"Mira d'Aire/Union,Maewo, Chinese-2, Kalo",,G6PD Variable,Abnormal/Priority/High Risk
